id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,application_type
1069759,1304871,1000,1000,1000, 36 months,16.29%,35.31,D,D1,Internal revenue Service,< 1 year,RENT,28000,Not Verified,11-Dec,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,641xx,MO,20.31,0,7-Sep,665,669,1,,,11,0,6524,81.50%,23,f,0,0,1270.716942,1270.72,1000,270.72,0,0,0,15-Jan,36.32,,16-Sep,769,765,INDIVIDUAL
1065775,1299699,10000,10000,10000, 36 months,15.27%,347.98,C,C4,Chin's Restaurant,4 years,RENT,42000,Not Verified,11-Dec,Fully Paid,n,home_improvement,Home,921xx,CA,18.6,0,Oct-98,670,674,2,61,,14,0,24043,70.20%,28,f,0,0,12527.15,12527.15,10000,2527.15,0,0,0,15-Jan,370.46,,15-Apr,639,635,INDIVIDUAL
1069971,1304884,3600,3600,3600, 36 months,6.03%,109.57,A,A1,Duracell,10+ years,MORTGAGE,110000,Not Verified,11-Dec,Fully Paid,n,major_purchase,Holiday,067xx,CT,10.52,0,Aug-93,760,764,0,,,20,0,22836,16%,42,f,0,0,3785.271965,3785.27,3600,185.27,0,0,0,13-May,583.45,,14-May,794,790,INDIVIDUAL
1062474,1294539,6000,6000,6000, 36 months,11.71%,198.46,B,B3,Connection Inspection,1 year,MORTGAGE,84000,Verified,11-Dec,Fully Paid,n,medical,Medical,890xx,UT,18.44,2,3-Oct,685,689,0,8,,4,0,0,37.73%,14,f,0,0,7167.072893,7167.07,6000,1152.07,15.00000003,0,0,15-Feb,16.98,,15-Jul,559,555,INDIVIDUAL
1069742,1304855,9200,9200,9200, 36 months,6.03%,280.01,A,A1,Network Interpreting Service,6 years,RENT,77385.19,Not Verified,11-Dec,Fully Paid,n,debt_consolidation,lowerratemeanseasiertogetoutofdebt!,921xx,CA,9.86,0,1-Jan,755,759,0,,,8,0,7314,23.10%,28,f,0,0,9460.000848,9460,9200,260,0,0,0,12-Jul,8061.1,,16-Feb,644,640,INDIVIDUAL
1069740,1284848,20250,20250,19142.16108, 60 months,15.27%,484.63,C,C4,Archdiocese of Galveston Houston,3 years,RENT,43370,Verified,11-Dec,Fully Paid,n,debt_consolidation,Freedom From Credit Cards,770xx,TX,26.53,0,Nov-97,725,729,3,,,8,0,17813,85.60%,22,f,0,0,27679.05,25433.6,20250,7429.05,0,0,0,15-Aug,6024.09,,16-Jun,684,680,INDIVIDUAL
1039153,1269083,21000,21000,21000, 36 months,12.42%,701.73,B,B4,Osram Sylvania,10+ years,RENT,105000,Verified,11-Dec,Charged Off,n,debt_consolidation,Debt Cleanup,335xx,FL,13.22,0,Feb-83,705,709,0,,,7,0,32135,90.30%,38,f,0,0,14025.4,14025.4,10694.96,3330.44,0,0,0,13-Sep,701.73,,16-Sep,534,530,INDIVIDUAL
1069710,1304821,10000,10000,10000, 36 months,11.71%,330.76,B,B3,Value Air,10+ years,OWN,50000,Source Verified,11-Dec,Fully Paid,n,credit_card,Credit Card Loan,799xx,TX,11.18,0,Jul-85,690,694,0,,,8,0,10056,82.40%,21,f,0,0,11907.35,11907.35,10000,1907.35,0,0,0,15-Jan,349.21,,16-Sep,779,775,INDIVIDUAL
1069700,1304810,10000,10000,10000, 36 months,11.71%,330.76,B,B3,Wells Fargo Bank,5 years,RENT,50000,Not Verified,11-Dec,Fully Paid,n,debt_consolidation,Debt Consolidation,917xx,CA,16.01,0,3-Apr,710,714,0,,,6,0,17800,91.80%,17,f,0,0,11540.89198,11540.89,10000,1540.89,0,0,0,13-Oct,4942.63,,14-Mar,684,680,INDIVIDUAL
1069559,1304634,6000,6000,6000, 36 months,11.71%,198.46,B,B3,bmg-educational,1 year,RENT,76000,Not Verified,11-Dec,Charged Off,n,major_purchase,cash,900xx,CA,2.4,0,1-Jun,690,694,1,,,7,0,5963,29.70%,7,f,0,0,2050.14,2050.14,1305.58,475.25,0,269.31,2.57,12-Oct,198.46,,16-Sep,499,0,INDIVIDUAL
1069697,1273773,15000,15000,15000, 36 months,9.91%,483.38,B,B1,Winfield Pathology Consultants,2 years,MORTGAGE,92000,Verified,11-Dec,Fully Paid,n,credit_card,No more credit card debt!,605xx,IL,29.44,0,2-Feb,730,734,0,,,8,0,13707,93.90%,31,f,0,0,15823.99905,15824,15000,824,0,0,0,12-Sep,2447.05,,12-Sep,734,730,INDIVIDUAL
1069800,1304679,15000,15000,8725, 36 months,14.27%,514.64,C,C2,nyc transit,9 years,RENT,60000,Not Verified,11-Dec,Charged Off,n,debt_consolidation,consolidation,103xx,NY,15.22,0,3-Oct,695,699,1,,,7,0,5872,57.60%,11,f,0,0,0,0,0,0,0,0,0,,0,,16-Sep,509,505,INDIVIDUAL
1069657,1304764,5000,5000,5000, 60 months,16.77%,123.65,D,D2,Frito Lay,2 years,RENT,50004,Not Verified,11-Dec,Charged Off,n,other,Other,150xx,PA,13.97,3,3-Oct,675,679,0,20,,14,0,4345,59.50%,22,f,0,0,1609.12,1609.12,629.05,719.11,0,260.96,2.3,12-Dec,123.65,,16-Sep,579,575,INDIVIDUAL
1069799,1304678,4000,4000,4000, 36 months,11.71%,132.31,B,B3,Shands Hospital at the University of Fl,10+ years,MORTGAGE,106000,Not Verified,11-Dec,Fully Paid,n,debt_consolidation,Debt Consolidation,326xx,FL,5.63,1,Aug-84,680,684,0,18,,12,0,6110,37.70%,44,f,0,0,4486.293519,4486.29,4000,486.29,0,0,0,13-Apr,2638.77,,16-Sep,689,685,INDIVIDUAL
1047704,1278806,8500,8500,8500, 36 months,11.71%,281.15,B,B3,Oakridge homes,< 1 year,RENT,25000,Source Verified,11-Dec,Fully Paid,n,credit_card,Credit card repayment loan,564xx,MN,12.19,0,6-Nov,695,699,0,,,8,0,6441,59.10%,12,f,0,0,10126.08844,10126.09,8500,1626.09,0,0,0,14-Dec,581.59,,15-Jan,599,595,INDIVIDUAL
1032111,1261745,4375,4375,4375, 36 months,7.51%,136.11,A,A3,,7 years,MORTGAGE,17108,Source Verified,11-Dec,Fully Paid,n,debt_consolidation,Debt Consolidation,141xx,NY,20.34,0,Dec-87,735,739,0,,,6,0,11210,86.90%,12,f,0,0,4899.96,4899.96,4375,524.96,0,0,0,15-Jan,144.94,,14-Dec,734,730,INDIVIDUAL
1069539,1304608,31825,31825,31825, 36 months,7.90%,995.82,A,A4,Audubon Mutual Housing Corporation,5 years,MORTGAGE,75000,Verified,11-Dec,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,080xx,NJ,14.03,0,Nov-81,760,764,0,,,12,0,23151,27.40%,26,f,0,0,34886.91378,34886.91,31825,3061.91,0,0,0,13-Aug,16966.7,,16-Sep,659,655,INDIVIDUAL
1065420,1299514,10000,10000,9975, 60 months,15.96%,242.97,C,C5,US Legal Support,2 years,RENT,29120,Verified,11-Dec,Current,n,debt_consolidation,Brown Eyes Loan,330xx,FL,22.83,0,Feb-97,690,694,1,68,,11,0,16158,63.60%,31,f,956.96,954.52,13566.12,13532.3,9043.03,4523.09,0,0,0,16-Sep,242.97,16-Oct,16-Sep,564,560,INDIVIDUAL
1069591,1304289,5000,5000,5000, 36 months,8.90%,158.77,A,A5,Good Samaritan Society,2 years,RENT,24044,Verified,11-Dec,Fully Paid,n,debt_consolidation,Consolidation,974xx,OR,11.93,0,5-Apr,700,704,0,45,,8,0,2224,29.30%,16,f,0,0,5715.56,5715.56,5000,715.56,0,0,0,15-Jan,163.64,,16-Sep,704,700,INDIVIDUAL
1069530,1291365,7000,7000,7000, 36 months,15.96%,245.97,C,C5,GREG BARRETT DRYWALL,7 years,RENT,34000,Source Verified,11-Dec,Fully Paid,n,credit_card,Credit Card Loan,934xx,CA,6.35,0,7-Oct,675,679,1,,,6,0,6113,60.50%,6,f,0,0,8854.510004,8854.51,7000,1854.51,0,0,0,15-Jan,260.74,,14-Dec,734,730,INDIVIDUAL
1069522,1304589,12400,12400,12400, 36 months,10.65%,403.91,B,B2,Sharp Lawn Inc.,10+ years,RENT,41000,Not Verified,11-Dec,Fully Paid,n,credit_card,December 2011 Credit Card Loan,405xx,KY,11.8,0,5-Jul,720,724,2,,,9,0,11095,57.20%,12,f,0,0,14540.67999,14540.68,12400,2140.68,0,0,0,15-Jan,417.61,,16-Sep,784,780,INDIVIDUAL
1069361,1304255,10800,10800,10800, 36 months,9.91%,348.03,B,B1,Department of Justice,2 years,RENT,55596,Source Verified,11-Dec,Fully Paid,n,moving,Moving to better job; help a veteran!,946xx,CA,5.5,0,Dec-00,705,709,0,,,7,0,2535,13.30%,18,f,0,0,12159.18687,12159.19,10800,1359.19,0,0,0,13-Nov,3483.79,,16-Jan,679,675,INDIVIDUAL
1069357,1304251,15000,15000,15000, 36 months,7.90%,469.36,A,A4,Gateway Hospice,1 year,RENT,45000,Verified,11-Dec,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,445xx,OH,8.48,0,4-Nov,730,734,0,,,7,0,6704,50.40%,27,f,0,0,16663.34403,16663.34,15000,1663.34,0,0,0,14-Jan,5872.8,,16-Jun,739,735,INDIVIDUAL
1069356,1304250,6000,6000,6000, 36 months,12.42%,200.5,B,B4,Cox Communications,1 year,RENT,36852,Source Verified,11-Dec,Fully Paid,n,debt_consolidation,Credit Card Consolidation,850xx,AZ,10.62,0,7-Apr,695,699,1,,,7,0,7310,66.50%,12,f,0,0,7127.722011,7127.72,6000,1127.72,0,0,0,14-Apr,1923.53,,16-Sep,749,745,INDIVIDUAL
1069346,1304237,12500,12500,12475, 60 months,12.69%,282.44,B,B5,United States Infrastructure Corporation,1 year,RENT,27000,Verified,11-Dec,Current,n,debt_consolidation,Credit card debt,604xx,IL,16.04,0,1-Dec,735,739,3,,,6,0,10143,50%,24,f,1126.24,1123.96,15766.06,15734.58,11373.76,4392.3,0,0,0,16-Sep,282.44,16-Oct,16-Sep,604,600,INDIVIDUAL
1067573,1301955,9600,9600,9600, 36 months,7.51%,298.67,A,A3,Nucor Building Systems,4 years,RENT,68004,Source Verified,11-Dec,Fully Paid,n,other,Other Loan,292xx,SC,6.63,0,3-Jan,760,764,0,,,6,0,2896,18.10%,11,f,0,0,10751.86997,10751.87,9600,1151.87,0,0,0,15-Jan,311.56,,14-Dec,829,825,INDIVIDUAL
1069506,1304567,12000,12000,12000, 36 months,7.90%,375.49,A,A4,John Wiley Jr.,10+ years,RENT,62300,Not Verified,11-Dec,Fully Paid,n,debt_consolidation,Debt Consolidation,088xx,NJ,16.7,0,Mar-94,725,729,0,38,,15,0,8601,21%,25,f,0,0,13517.36,13517.36,12000,1517.36,0,0,0,15-Jan,380.98,,16-Sep,774,770,INDIVIDUAL
1069314,1304202,3000,3000,3000, 36 months,18.25%,108.84,D,D5,,9 years,MORTGAGE,65000,Not Verified,11-Dec,Fully Paid,n,other,Year End Cleanup,180xx,PA,17.39,0,Sep-98,670,674,0,,,8,0,43936,98.10%,22,f,0,0,3917.949999,3917.95,3000,917.95,0,0,0,15-Jan,115.38,,16-Sep,689,685,INDIVIDUAL
1060578,1292332,4400,4400,4400, 36 months,16.77%,156.37,D,D2,citizens bank,10+ years,RENT,55000,Not Verified,11-Dec,Fully Paid,n,debt_consolidation,debt,029xx,RI,20.01,0,4-Jun,690,694,0,,,7,0,25237,99%,11,f,0,0,5629.270001,5629.27,4400,1229.27,0,0,0,15-Jan,162.44,,15-Dec,594,590,INDIVIDUAL
1069469,1304526,6000,6000,6000, 36 months,6.03%,182.62,A,A1,"Stewart Enterprises, Inc.",10+ years,MORTGAGE,45600,Not Verified,11-Dec,Fully Paid,n,debt_consolidation,Debt-Consolidation ,700xx,LA,5.34,0,Nov-95,790,794,1,,,6,0,3378,32.50%,28,f,0,0,6065.86,6065.86,6000,65.86,0,0,0,12-Jul,15.01,,12-Jun,784,780,INDIVIDUAL
1051117,1282787,14000,14000,14000, 36 months,9.91%,451.15,B,B1,golfers warehouse,6 years,RENT,80000,Not Verified,11-Dec,Fully Paid,n,small_business,Small Business Loan,010xx,MA,10,0,Jul-99,725,729,1,45,,7,0,2219,13.40%,40,f,0,0,16241.38,16241.38,14000,2241.38,0,0,0,15-Jan,457.91,,16-Sep,734,730,INDIVIDUAL
1069465,1304521,5000,5000,5000, 36 months,8.90%,158.77,A,A5,STERIS Corporation,10+ years,MORTGAGE,100000,Source Verified,11-Dec,Charged Off,n,debt_consolidation,Debt Consolidation for a better life,441xx,OH,16.33,0,Jun-95,705,709,0,,,17,0,74351,62.10%,35,f,0,0,5021.37,5021.37,4217.38,696.99,0,107,1.07,14-Aug,158.77,,16-Sep,639,635,INDIVIDUAL
1069283,1304166,10000,10000,10000, 36 months,10.65%,325.74,B,B2,Costco Wholesale Corp.,6 years,RENT,27000,Verified,11-Dec,Fully Paid,n,other,Other Loan,104xx,NY,11.47,0,6-Nov,700,704,0,,,7,0,7814,52.30%,10,f,0,0,11726.32,11726.32,10000,1726.32,0,0,0,15-Jan,332.92,,16-Sep,689,685,INDIVIDUAL
1069287,1304171,10000,10000,10000, 36 months,6.03%,304.36,A,A1,Helicoil,10+ years,RENT,60000,Not Verified,11-Dec,Fully Paid,n,credit_card,Credit Card Loan,067xx,CT,12.74,0,Sep-92,790,794,1,,,11,0,14019,19.50%,18,f,0,0,10282.70571,10282.71,10000,282.71,0,0,0,12-Jul,8762.05,,16-Sep,789,785,INDIVIDUAL
1069453,1303701,11000,11000,11000, 36 months,6.62%,337.75,A,A2,cognizant technology solutions,5 years,RENT,70000,Not Verified,11-Dec,Fully Paid,n,debt_consolidation,Debt Consolitation ,061xx,CT,10.85,0,2-Jan,750,754,0,,,5,0,11638,36.40%,7,f,0,0,12158.61,12158.61,11000,1158.61,0,0,0,15-Jan,346.13,,16-Sep,794,790,INDIVIDUAL
1069248,1304123,15000,15000,15000, 36 months,9.91%,483.38,B,B1,Caterpillar Inc.,8 years,MORTGAGE,80000,Not Verified,11-Dec,Charged Off,n,debt_consolidation,Debt Consolidation Loan,616xx,IL,9.12,0,Apr-92,730,734,2,,,9,0,11845,63.70%,28,f,0,0,16177.77,16177.77,13556.45,2374.34,24.17,222.81,36.3708,14-Oct,483.38,,16-Sep,614,610,INDIVIDUAL
1068120,1302485,25600,25600,25350, 36 months,9.91%,824.96,B,B1,City of Santa Monica ,9 years,RENT,110000,Verified,11-Dec,Fully Paid,n,credit_card,Credit card refinance loan,913xx,CA,15.71,0,Jul-99,725,729,0,,,11,0,26088,62%,27,f,0,0,29698.51,29408.49,25600,4098.51,0,0,0,15-Jan,838.27,,16-Sep,659,655,INDIVIDUAL
1069244,1304117,7000,7000,7000, 36 months,10.65%,228.02,B,B2,Aerotek Scientific,< 1 year,RENT,40000,Not Verified,11-Dec,Fully Paid,n,debt_consolidation,Loan 12142011,947xx,CA,7.38,0,4-Apr,700,704,0,,,7,0,12168,92.90%,12,f,0,0,8208.410003,8208.41,7000,1208.41,0,0,0,15-Jan,240.27,,14-Dec,699,695,INDIVIDUAL
1069243,1304116,12000,12000,12000, 36 months,15.96%,421.65,C,C5,Chemat Technology Inc,4 years,RENT,50000,Not Verified,11-Dec,Charged Off,n,car,Car Loan,914xx,CA,20.88,0,6-Oct,675,679,2,,,11,0,15793,90.80%,11,f,0,0,3521.95,3521.95,1903.66,1039.35,0,578.94,5.49,12-Aug,421.65,,16-Sep,579,575,INDIVIDUAL
1069238,1303909,12000,12000,12000, 36 months,9.91%,386.7,B,B1,Scott & White,1 year,RENT,46000,Not Verified,11-Dec,Fully Paid,n,credit_card,Credit Cards,765xx,TX,8.11,0,May-00,730,734,1,,,11,0,12143,52.10%,12,f,0,0,13751.14474,13751.14,12000,1751.14,0,0,0,14-Jul,964.73,,16-Mar,784,780,INDIVIDUAL
1069410,1303652,21000,21000,20975, 60 months,19.91%,555.33,E,E4,Costco,7 years,RENT,50000,Verified,11-Dec,Charged Off,n,debt_consolidation, Bill pay of,980xx,WA,21.58,0,Sep-98,680,684,1,,,7,0,19448,97.60%,14,f,0,0,18319.14,18297.35,8990.81,9328.33,0,0,0,14-Oct,555.33,,16-Sep,614,610,INDIVIDUAL
1068409,1302790,16000,16000,15950, 60 months,19.91%,423.11,E,E4,CA Technologies,7 years,RENT,81000,Verified,11-Dec,Fully Paid,n,credit_card,refinance debt,017xx,MA,20.52,0,Dec-98,665,669,3,,,12,0,27884,75.10%,21,f,0,0,20882.09701,20816.84,16000,4882.1,0,0,0,13-Oct,9931.02,,16-Sep,714,710,INDIVIDUAL
1068487,1302882,10000,10000,10000, 36 months,12.42%,334.16,B,B4,Netflix,< 1 year,OWN,39000,Not Verified,11-Dec,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,972xx,OR,18.58,0,4-Dec,685,689,0,,,5,0,12874,72.70%,10,f,0,0,11477.10378,11477.1,10000,1477.1,0,0,0,13-Jul,5803.94,,15-Mar,689,685,INDIVIDUAL
1043961,1274517,10000,10000,10000, 36 months,10.65%,325.74,B,B2,DCAA,2 years,RENT,51400,Not Verified,11-Dec,Fully Paid,n,credit_card,My End to Bad Spending Habits Plan,752xx,TX,19.14,0,Oct-00,715,719,3,,,10,0,10160,59.10%,24,f,0,0,10576.43411,10576.43,10000,576.43,0,0,0,12-Aug,8627.74,,14-Sep,749,745,INDIVIDUAL
1068945,1287308,7100,7100,7100, 36 months,16.77%,252.33,D,D2,Triple D security ,1 year,MORTGAGE,33000,Verified,11-Dec,Fully Paid,n,debt_consolidation,To pay of all debt,787xx,TX,24,0,7-Apr,680,684,2,,,4,0,6021,91.20%,8,f,0,0,9083.530005,9083.53,7100,1983.53,0,0,0,15-Jan,262.78,,16-Sep,649,645,INDIVIDUAL
1069142,1287810,13000,13000,13000, 60 months,12.69%,293.74,B,B5,wrisco,< 1 year,MORTGAGE,30000,Source Verified,11-Dec,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,077xx,NJ,13.72,0,2-May,730,734,0,,,17,0,17080,58.90%,27,f,0,0,17402.23999,17402.24,13000,4402.24,0,0,0,16-Jan,3596.46,,16-Jan,709,705,INDIVIDUAL
1068934,1277395,17500,8950,8925, 60 months,17.27%,223.74,D,D3,,6 years,RENT,40000,Verified,11-Dec,Fully Paid,n,small_business,Start Up,951xx,CA,19.47,0,6-May,705,709,1,,,5,0,10724,58.90%,6,f,0,0,13227.10001,13190.15,8950,4277.1,0,0,0,16-Feb,2487.58,,16-Jan,664,660,INDIVIDUAL
1069136,1278095,17675,17675,17675, 60 months,14.65%,417.25,C,C3,webb candy,< 1 year,RENT,50000,Source Verified,11-Dec,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,540xx,WI,16.46,0,2-Jul,720,724,2,,,6,0,6661,57.40%,14,f,0,0,21323.86749,21323.87,17675,3648.87,0,0,0,13-Aug,13814.81,,16-Sep,599,595,INDIVIDUAL
1068923,1303549,8000,8000,8000, 36 months,16.77%,284.31,D,D2,Omniplex ,< 1 year,RENT,62000,Not Verified,11-Dec,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,225xx,VA,21.64,0,6-Jul,660,664,3,,,14,0,6088,66.90%,20,f,0,0,10273.24,10273.24,8000,2258.24,15,0,0,14-Dec,606.54,,16-Sep,649,645,INDIVIDUAL
1069126,1303778,10000,10000,9975, 60 months,10.65%,215.69,B,B2,CEC ENTERTAINMENT INC,10+ years,RENT,45996,Verified,11-Dec,Charged Off,n,debt_consolidation,Consolidation,440xx,OH,21.73,0,May-97,755,759,1,,,7,0,11170,30.10%,15,f,0,0,8772.91,8751.08,5495.38,2429.23,1,847.3,152.514,15-Apr,1,,16-Sep,629,625,INDIVIDUAL
1069102,1303750,3500,3500,3500, 36 months,10.65%,114.01,B,B2,CPI,7 years,MORTGAGE,55000,Not Verified,11-Dec,Fully Paid,n,debt_consolidation,blessings,437xx,OH,5.39,0,5-Oct,700,704,1,,,9,0,6611,45.90%,12,f,0,0,4104.209999,4104.21,3500,604.21,0,0,0,15-Jan,118.32,,14-Dec,664,660,INDIVIDUAL
1069093,1303740,12500,8925,8925, 60 months,17.27%,223.11,D,D3,grandma kitchen,5 years,RENT,30000,Source Verified,11-Dec,Charged Off,n,debt_consolidation,allen,559xx,MN,13.16,0,Apr-95,690,694,0,,113,7,1,9844,70.80%,28,f,0,0,5577.75,5577.75,2812.82,2742.43,0,22.5,0,14-Feb,223.11,,16-Sep,659,655,INDIVIDUAL
1069030,1303473,16425,16425,16425, 36 months,14.27%,563.53,C,C2,"Gen-Probe, Inc",4 years,RENT,44544,Source Verified,11-Dec,Fully Paid,n,debt_consolidation,New Start,921xx,CA,22.71,0,2-Oct,695,699,1,,,10,0,15747,83.40%,18,f,0,0,18174.82881,18174.83,16425,1749.83,0,0,0,12-Nov,13108.71,,16-Sep,609,605,INDIVIDUAL
